collection,number_of_movies,domestic_revenue,revnue,first_year,last_year,nu_of_years
Marvel Cinematic Universe,30,"$8,545,426,433","$22,587,518,639",2008,2022,14
Star Wars,15,"$5,079,119,579","$10,324,020,963",1977,2026,49
James Bond,27,"$2,136,666,623","$7,119,674,009",1963,2020,57
Batman,22,"$2,786,778,902","$6,052,346,905",1989,2021,32
Harry Potter,12,"$2,786,938,291","$9,195,390,708",2001,2021,20
Spider-Man,10,"$2,711,115,724","$7,220,232,624",2002,2019,17
X-Men,14,"$2,434,609,696","$6,033,624,526",2000,2020,20
Avengers,4,"$2,619,552,260","$7,767,987,269",2012,2019,7
Jurassic Park,6,"$1,882,766,527","$5,009,038,251",1993,2021,28
Star Trek,13,"$1,400,952,879","$2,267,036,257",1979,2016,37
Peter Jackson's Lord of the Rings,7,"$1,852,304,517","$5,858,102,224",2001,2018,17
DC Extended Universe,23,"$2,147,685,393","$5,473,505,766",2013,2022,9
Indiana Jones,5,"$919,839,275","$1,961,339,569",1981,2022,41
Superman,9,"$1,152,698,852","$2,554,512,067",1978,2016,38
Fast and the Furious,11,"$1,690,752,038","$5,901,315,134",2001,2021,20
Shrek,8,"$1,419,598,493","$3,546,160,710",2001,2022,21
Rocky,8,"$792,039,875","$1,513,939,512",1976,2018,42
Pirates of the Caribbean,5,"$1,451,769,807","$4,517,852,068",2003,2017,14
Transformers,7,"$1,582,401,601","$4,846,579,018",1986,2018,32
Toy Story,5,"$1,317,393,746","$3,054,046,196",1995,2019,24
Jaws,4,"$420,895,891","$737,573,891",1975,1987,12
Hunger Games,4,"$1,451,538,526","$2,958,353,344",2012,2015,3
Twilight,6,"$1,365,922,346","$3,317,470,739",2008,2012,4
Mission: Impossible,8,"$1,154,492,507","$3,577,703,029",1996,2022,26
Dark Knight Trilogy,3,"$1,190,225,564","$2,448,599,772",2005,2012,7
Peter Pan,6,"$355,579,537","$708,714,979",1953,2009,56
Planet of the Apes,9,"$793,882,111","$2,115,119,208",1968,2017,49
The Lion King,4,"$965,423,326","$2,643,158,262",1994,2019,25
Despicable Me,6,"$1,220,249,440","$3,713,742,291",2010,2021,11
Lady and the Tramp,2,"$93,600,000","$93,600,000",1955,2001,46
Exorcist,5,"$322,436,443","$522,446,253",1973,2005,32
Billy Jack,3,"$223,000,000","$223,000,000",1967,1974,7
Iron Man,3,"$1,040,029,729","$2,421,720,208",2008,2013,5
Mary Poppins,2,"$274,230,583","$451,834,102",1964,2018,54
King Kong,6,"$453,458,502","$1,216,915,731",1933,2020,87
Alien,8,"$591,630,347","$1,648,542,927",1979,2017,38
Men in Black,5,"$704,184,140","$1,940,818,524",1997,2019,22
Terminator,6,"$669,177,934","$2,074,603,836",1984,2019,35
Finding Nemo,2,"$866,824,931","$1,965,000,259",2003,2016,13
Beverly Hills Cop,4,"$431,012,375","$712,145,974",1984,2011,27
Home Alone,5,"$490,039,196","$866,371,962",1990,2013,23
Lethal Weapon,4,"$487,622,466","$952,592,350",1987,1998,11
Bourne,5,"$800,424,270","$1,665,926,127",2002,2016,14
Ice Age,5,"$793,676,582","$3,179,639,301",2002,2016,14
Ghostbusters,4,"$483,057,779","$739,721,125",1984,2021,37
Cinderella,2,"$85,000,000","$263,591,415",1950,2007,57
The Incredibles,2,"$870,022,836","$1,874,246,451",2004,2018,14
Airport,4,"$190,774,302","$190,774,302",1970,1979,9
Back to the Future,3,"$418,765,047","$961,613,438",1985,1990,5
Jumanji,4,"$849,844,012","$2,081,508,133",1995,2019,24
Jack Ryan,5,"$495,058,617","$910,977,412",1990,2014,24
Matrix,3,"$594,220,988","$1,631,299,148",1999,2003,4
Teenage Mutant Ninja Turtles,6,"$583,601,790","$1,149,359,568",1990,2016,26
Frozen,3,"$878,111,587","$2,718,773,107",2013,2019,6
Jungle Book,2,"$189,744,582","$281,965,225",1967,2003,36
Captain America,3,"$844,485,812","$2,238,256,014",2011,2016,5
The Hobbit,3,"$816,364,878","$2,922,822,711",2012,2014,2
Avatar,5,"$760,507,625","$2,788,701,337",2009,2027,18
Pink Panther,11,"$267,433,670","$378,233,670",1964,2009,45
Die Hard,5,"$500,565,220","$1,431,562,382",1988,2013,25
Mummy,4,"$550,464,904","$1,423,076,742",1999,2008,9
Dirty Harry,5,"$224,579,600","$224,579,600",1971,1988,17
Meet the Parents,3,"$593,831,215","$1,157,643,189",2000,2010,10
Friday the 13th,12,"$382,746,073","$466,198,282",1980,2009,29
Madagascar,5,"$673,512,794","$2,270,104,142",2005,2019,14
National Lampoon,12,"$269,614,312","$287,550,376",1978,2009,31
Karate Kid,5,"$430,055,661","$612,338,981",1984,2010,26
Halloween,13,"$467,782,306","$618,690,596",1978,2020,42
The Sting,2,"$165,963,399","$165,963,399",1973,1983,10
Rush Hour,3,"$507,477,118","$849,311,714",1998,2007,9
Wizard of Oz,4,"$280,075,700","$535,905,826",1939,2013,74
Austin Powers,3,"$473,041,863","$676,406,139",1997,2002,5
Around the World in 80 Days,2,"$66,004,159","$114,004,159",1956,2004,48
Alvin and the Chipmunks,5,"$655,935,962","$1,404,694,725",2007,2015,8
Ocean's Eleven,4,"$566,311,960","$1,422,578,046",2001,2018,17
Muppets,8,"$351,116,453","$452,036,800",1979,2014,35
Guardians of the Galaxy,3,"$722,985,213","$1,641,885,213",2014,2019,5
Smokey and the Bandit,3,"$199,870,054","$199,870,054",1977,1983,6
Thor,3,"$702,451,053","$1,947,887,423",2011,2017,6
Hangover,3,"$643,986,880","$1,414,228,463",2009,2013,4
Saturday Night Fever,2,"$203,327,598","$408,441,474",1977,1983,6
Hannibal Lecter,5,"$425,065,056","$921,486,656",1986,2007,21
"Monsters, Inc.",2,"$557,911,754","$1,303,346,048",2001,2013,12
Rambo,5,"$338,917,404","$817,962,398",1982,2019,37
Herbie,5,"$193,352,588","$271,452,588",1969,2005,36
Independence Day,2,"$409,313,541","$1,201,570,302",1996,2016,20
Cars,3,"$588,434,972","$1,405,347,998",2006,2017,11
