distributor,number_of_movies,budget,total_revenue,best_seller
Walt Disney, 652," $74,716,769"," $101,663,718,226", Avengers: Endgame
Warner Bros.," 1,024"," $55,543,527"," $95,112,348,595", Harry Potter and the Deathly Hallows:…
Universal, 889," $46,788,071"," $75,240,714,142", Jurassic World
20th Century Fox, 721," $49,926,749"," $74,343,987,624", Avatar
Sony Pictures, 911," $44,861,968"," $72,671,239,662", Spider-Man: Far From Home
Paramount Pictures, 739," $50,619,414"," $66,147,945,162", Titanic
Lionsgate, 469," $27,653,058"," $20,035,833,383", The Hunger Games: Catching Fire
New Line, 238," $29,940,821"," $12,839,270,744", The Lord of the Rings: The Return of …
MGM, 478," $21,877,087"," $12,554,182,117", Die Another Day
Dreamworks SKG, 61," $48,012,727"," $8,622,846,081", Shrek 2
Miramax, 354," $17,498,951"," $8,424,287,283", Chicago
Well Go USA, 138," $25,050,000"," $6,761,266,397", Ne Zha Zhi Mo Tong Jiang Shi
Weinstein Co., 137," $22,068,824"," $5,975,649,262", Les Intouchables
Fox Searchlight, 175," $10,567,271"," $5,557,735,799", Slumdog Millionaire
Focus Features, 156," $19,906,250"," $5,439,471,807", London Has Fallen
China Lion Film Distribution, 85," $22,106,250"," $4,901,327,158", Wo Bi Shi Yao Shen
Sony Pictures Classics, 381," $9,121,336"," $4,023,448,433"," Crouching Tiger, Hidden Dragon"
Summit Entertainment, 31," $37,140,741"," $3,889,843,146", The Twilight Saga: Eclipse
United Artists, 189," $18,788,780"," $2,839,887,173", Rocky
Orion Pictures, 148," $12,413,636"," $2,645,546,468", Dances with Wolves
STX Entertainment, 36," $29,896,774"," $2,067,739,526", Valerian and the City of a Thousand P…
Sony/TriStar, 73," $37,888,889"," $1,747,596,710", Rambo: First Blood Part II
Miramax/Dimension, 22," $30,028,571"," $1,693,824,814", Scary Movie
Relativity, 36," $25,464,516"," $1,678,355,153", Immortals
CJ Entertainment, 54," $13,566,667"," $1,639,752,479", Myeong-ryang
Open Road, 45," $24,816,216"," $1,460,000,459", The Nut Job
Columbia, 84," $9,885,714"," $1,423,697,505", Close Encounters of the Third Kind
IFC Films, 493," $6,960,205"," $1,341,552,110", My Big Fat Greek Wedding
Eros Entertainment, 163," $5,122,727"," $1,249,773,801", Bajrangi Bhaijaan
Magnolia Pictures, 340," $7,253,571"," $1,214,757,068", Xi you xiang mo pian
UTV Communications, 96," $6,260,000"," $1,065,792,909", Dangal
Gramercy, 59," $9,778,125"," $1,009,838,224", Bean
FUNimation, 21," $6,125,000"," $962,872,602", Kimi no na wa
Newmarket Films, 20," $14,977,778"," $948,573,571", The Passion of the Christ
Paramount Vantage, 68," $13,225,129"," $920,738,235", Babel
Self Distributed, 371," $13,372,500"," $870,688,964", Liu Lang Di Qiu
Asia Releasing, 18, $0," $861,811,816", Jian Bing Man
Roadside Attractions, 131," $10,213,333"," $850,414,434", I Can Only Imagine
The H Collective, 1, $0," $830,794,171", Zhan Lang 2
CBS Films, 25," $16,500,000"," $816,397,997", The Woman in Black
A24, 94," $6,005,294"," $797,273,271", Hereditary
FilmDistrict, 13," $23,604,167"," $733,993,445", Olympus Has Fallen
IMAX Films, 17, $0," $701,388,755", Space Station
Yash Raj Films, 70," $7,522,000"," $671,966,528", Tiger Zinda Hai
Artisan, 49," $9,367,391"," $627,446,393", The Blair Witch Project
Weinstein/Dimension, 12," $30,700,000"," $611,564,708", Scary Movie 4
CMC Pictures, 5, $0," $605,115,894", Wo he wo de zu guo
Overture Films, 19," $25,230,769"," $576,456,398", Law Abiding Citizen
GKIDS, 50," $7,125,000"," $481,002,246", Tenki no Ko
USA Films, 22," $20,411,111"," $478,784,552", Traffic
