production,number_of_movies,domestic_revenue,total_revenue
Warner Bros.,245,"18,883,066,475","43,737,470,598"
Universal Pictures,244,"17,908,167,680","42,947,884,203"
Columbia Pictures,240,"18,324,690,771","41,152,898,569"
Canal Plus,205,"1,249,715,974","4,595,711,709"
Lionsgate,165,"5,087,351,600","9,769,552,379"
Paramount Pictures,156,"12,521,246,254","29,509,478,459"
BBC Films,153,"630,787,617","1,763,751,031"
Regency Enterprises,144,"5,947,834,959","12,954,128,775"
Walt Disney Pictures,130,"15,873,663,739","38,428,869,964"
Relativity Media,116,"7,262,861,915","15,173,527,040"
BFI,113,"142,773,307","441,144,341"
StudioCanal,111,"871,833,790","3,741,830,703"
New Line Cinema,109,"6,182,199,837","14,131,993,478"
20th Century Fox,106,"10,028,154,676","25,120,043,711"
Blumhouse,102,"2,444,306,165","4,633,602,306"
Metro-Goldwyn-Mayer Pictures,99,"5,043,904,211","12,168,099,150"
Cine Plus,99,"443,128,189","1,678,526,872"
France 2 Cinema,96,"77,425,384","879,468,374"
Working Title Films,95,"2,438,239,621","7,778,316,963"
Participant Media,88,"1,601,232,646","3,203,465,532"
The Hallmark Channel,88,0,0
DreamWorks Pictures,82,"6,698,382,998","13,373,247,948"
Fox Searchlight Pictures,78,"1,359,936,586","3,149,005,553"
Village Roadshow Productions,77,"5,635,939,423","13,411,476,618"
Telefilm Canada,77,"114,983,509","301,764,811"
Netflix,76,"97,654","12,872,871"
Magnolia Pictures,75,"20,217,031","64,189,064"
Summit Entertainment,72,"3,362,726,133","8,460,362,168"
UK Film Council,71,"524,112,124","1,717,446,970"
Dune Entertainment,70,"6,307,177,998","16,497,960,714"
Arte,70,"13,776,051","112,117,251"
France Television,67,"40,171,990","449,308,174"
Touchstone Pictures,66,"4,340,327,149","8,311,997,196"
Screen Australia,66,"131,963,596","484,470,443"
Focus Features,64,"1,298,253,765","2,906,270,734"
Amblin Entertainment,63,"5,955,058,398","14,607,720,689"
Irish Film Board,62,"147,559,873","360,300,160"
France 3 Cinema,62,"131,034,377","543,207,157"
Marvel Studios,61,"12,974,487,990","33,703,220,293"
New Regency,61,"1,913,138,282","4,450,335,569"
Wild Bunch,61,"222,962,617","759,634,209"
Legendary Pictures,60,"6,310,074,576","16,286,657,184"
Entertainment One,59,"526,798,834","1,077,667,496"
Ingenious Media,57,"1,596,021,087","4,416,953,314"
FilmNation Entertainment,55,"556,039,241","1,252,531,869"
XYZ Films,54,"26,672,397","42,028,610"
Castle Rock Entertainment,53,"1,864,241,340","3,091,458,663"
Screen Gems,53,"1,829,770,822","3,636,972,348"
Samuel Goldwyn Films,53,"262,632,708","561,818,100"
ARTE France,53,"16,976,002","172,715,788"
Imagine Entertainment,52,"2,608,296,276","5,308,391,399"
Film4,51,"300,794,841","1,036,989,358"
Lipsync Productions,51,"51,410,557","179,137,452"
Fox 2000 Pictures,50,"2,656,928,451","5,740,837,222"
Tri-Star Pictures,49,"2,046,153,944","4,001,165,416"
Pathe,49,"294,767,128","867,971,921"
Grindstone Entertainment Group,49,"66,911","57,761,703"
Millennium Films,48,"1,004,847,388","2,545,941,220"
Arte France Cinema,48,"32,363,836","137,400,669"
Scott Free Films,47,"1,618,885,942","4,152,657,698"
Amazon Studios,47,"176,293,569","342,577,238"
Film i Vast,47,"23,575,844","167,688,819"
RAI Cinema,47,"18,890,343","154,163,968"
RatPac Entertainment,46,"3,963,515,749","10,006,907,270"
Voltage Pictures,46,"162,105,952","350,844,419"
DreamWorks Animation,45,"5,658,598,565","15,208,758,536"
TSG Entertainment,44,"2,576,168,646","7,068,164,187"
Twentieth Century Fox,44,"2,248,555,371","5,743,744,971"
IM Global,44,"344,718,979","725,224,708"
The Fyzz Facility,44,"168,013,124","346,902,847"
HanWay Films,44,"147,465,528","378,095,036"
Scott Rudin Productions,43,"2,135,382,420","3,737,293,531"
Head Gear Films,43,"92,343,045","198,974,647"
CNC,43,"16,809,564","98,906,533"
Saban Films,42,"9,542,646","184,392,489"
Davis Entertainment,41,"1,554,093,343","3,735,103,647"
Weinstein Company,41,"1,270,411,701","3,079,728,507"
IFC Films,41,"14,171,806","42,398,096"
Lakeshore Entertainment,40,"1,084,246,113","2,197,198,599"
Miramax Films,40,"768,076,584","1,657,865,187"
Film 4,39,"199,458,484","670,884,962"
Automatik,39,"176,543,225","295,802,848"
Creative Scotland,39,"20,889,933","118,477,733"
Eurimages,39,"9,486,513","97,270,297"
Gold Circle Films,38,"897,525,993","1,491,010,993"
Anonymous Content,38,"425,305,807","1,086,805,529"
Metrol Technology,38,"19,964,895","91,649,642"
ZDF,38,"10,453,966","98,217,508"
Gaumont,37,"146,696,865","1,048,405,780"
Happy Madison,36,"2,338,633,161","3,907,145,972"
Original Film,35,"2,566,020,198","7,472,103,862"
Perfect World Pictures,35,"2,306,458,449","6,044,754,685"
Revolution Studios,35,"1,764,350,680","3,128,746,630"
Bord Scannan na hEireann,35,"86,846,265","191,302,673"
Silver Pictures,34,"2,019,545,469","4,464,395,953"
Walden Media,34,"1,726,270,472","4,134,495,481"
Tribeca Film,34,"967,941,549","2,433,254,553"
IFC Midnight,34,"4,197","10,395,725"
Annapurna Pictures,33,"832,622,598","1,366,565,424"
Temple Hill Entertainment,32,"2,079,270,207","5,039,635,391"
Passion Pictures,32,"8,191,943","28,360,051"
di Bonaventura Pictures,31,"2,741,315,020","7,607,033,196"
Plan B Entertainment,31,"1,236,011,273","2,949,487,303"
EuropaCorp,31,"816,941,893","2,384,179,311"
A24,31,"233,687,988","402,460,200"
Bron Studios,31,"76,591,586","116,069,986"
The Kennedy/Marshall Company,30,"2,445,568,419","5,831,950,961"
Spyglass Entertainment,30,"2,311,618,021","4,394,307,290"
Vertigo Entertainment,30,"1,530,710,402","2,994,640,910"
Orion Pictures,30,"227,719,993","261,423,140"
Cinecinema,30,"111,766,976","969,958,715"
21 Laps Entertainment,29,"1,037,686,605","2,301,356,684"
