production_country,number_of_movies,budget,total_revenue
United States,"18,625","$36,711,681","$580,693,028,932"
United Kingdom,"3,147","$30,346,413","$51,123,880,041"
China,"1,684","$31,727,059","$29,938,351,771"
France,"2,753","$23,007,232","$20,056,156,596"
Japan,"1,158","$29,453,636","$13,175,249,342"
Germany,"1,207","$30,993,014","$9,996,905,526"
Republic of Korea,880,"$17,430,208","$8,019,380,825"
Canada,"1,350","$19,758,682","$7,839,381,236"
Australia,612,"$29,924,645","$7,383,954,399"
India,"1,648","$14,424,796","$7,348,263,569"
New Zealand,161,"$64,942,963","$7,330,231,778"
Hong Kong,355,"$24,750,000","$6,387,409,143"
Italy,"1,131","$16,391,000","$4,173,094,949"
Spain,"1,006","$24,701,437","$3,942,485,790"
Belgium,467,"$19,138,484","$2,111,423,340"
Russian Federation,735,"$13,572,310","$2,078,429,404"
Mexico,365,"$11,964,516","$1,800,410,979"
Ireland,268,"$18,439,333","$1,195,529,907"
Netherlands,359,"$26,526,667","$1,173,249,903"
Sweden,214,"$16,142,857","$1,164,325,355"
Brazil,333,"$14,530,526","$1,096,372,619"
Turkey,787,"$10,733,333","$919,236,945"
"Taiwan, Province of China",109,"$13,883,333","$745,868,348"
Denmark,218,"$14,355,063","$741,093,027"
Switzerland,173,"$23,051,000","$683,098,183"
Czech Republic,226,"$32,963,636","$628,343,509"
Finland,62,"$22,193,750","$627,139,510"
South Africa,127,"$18,395,526","$607,279,549"
Argentina,801,"$13,111,111","$588,356,655"
Poland,222,"$7,121,000","$561,689,670"
United Arab Emirates,30,"$32,187,500","$539,131,971"
Hungary,75,"$36,677,000","$516,769,294"
Malta,9,"$77,500,000","$500,098,538"
Panama,9,"$36,000,000","$305,439,992"
Austria,135,"$14,687,500","$300,328,860"
Tunisia,14,"$35,000,000","$247,708,507"
Luxembourg,72,"$19,571,429","$234,040,100"
Morocco,25,"$36,225,000","$227,622,605"
Thailand,89,"$7,014,286","$220,179,842"
Romania,93,"$11,443,667","$206,988,343"
Norway,138,"$5,413,636","$196,028,542"
Chile,77,"$12,000,000","$179,547,419"
Uruguay,40,"$135,000,000","$167,889,825"
Paraguay,13,"$135,000,000","$164,638,733"
Slovakia,96,"$36,000,000","$156,533,972"
Israel,176,"$1,541,667","$119,392,989"
Kuwait,2,"$80,000,000","$96,776,147"
Ukraine,41,"$26,000,000","$96,448,500"
Iceland,50,"$22,950,000","$92,742,618"
Lebanon,24,"$4,625,000","$87,388,519"
Peru,33,"$1,200,000","$85,838,655"
Islamic Republic of Iran,72,"$3,484,286","$79,723,557"
Greece,61,"$2,607,667","$72,337,625"
Cuba,29,$0,"$65,464,275"
Portugal,200,"$800,000","$56,244,589"
Bahamas,6,"$31,500,000","$56,161,963"
Bolivarian Republic of Venezuela,23,"$1,400,000","$54,144,060"
Malaysia,21,"$25,000,000","$51,909,863"
Philippines,116,$0,"$50,647,019"
Latvia,27,$0,"$47,411,577"
Greenland,3,"$21,000,000","$46,084,208"
Algeria,10,"$10,100,000","$44,842,782"
Botswana,3,$0,"$43,923,227"
The Former Yugoslav Republic of Macedonia,29,"$5,000,000","$43,689,692"
Singapore,25,$0,"$43,377,311"
Bulgaria,100,"$10,750,000","$40,817,416"
Namibia,4,"$75,000,000","$34,031,734"
German Democratic Republic,13,"$5,000,000","$29,513,932"
Estonia,25,"$1,250,000","$28,855,148"
Kazakhstan,17,"$29,000,000","$28,685,342"
Colombia,57,"$2,000,000","$25,745,265"
Lithuania,79,"$500,000","$24,218,699"
Indonesia,25,"$950,000","$16,580,343"
Saudi Arabia,5,"$30,000,000","$15,322,206"
Serbia,27,$0,"$15,146,492"
Cayman Islands,2,"$2,000,000","$15,087,199"
Mongolia,8,"$30,000,000","$14,488,158"
Bosnia and Herzegovina,15,"$20,500,000","$12,421,552"
Occupied Palestinian Territory,23,$0,"$11,782,646"
Qatar,34,"$12,000,000","$10,347,208"
Croatia,31,"$40,000,000","$9,654,673"
Pakistan,51,"$1,100,000","$9,070,462"
Viet Nam,21,$0,"$8,350,102"
Dominican Republic,21,"$362,500","$8,216,870"
Montenegro,3,$0,"$7,795,158"
Egypt,22,"$1,500,000","$7,078,387"
Mauritania,2,$0,"$6,817,760"
Senegal,12,$0,"$6,531,944"
Democratic People's Republic of Korea,3,$0,"$6,143,147"
Monaco,5,"$28,000,000","$5,739,161"
Slovenia,34,"$780,000","$5,626,227"
Bermuda,2,$0,"$5,200,000"
Afghanistan,15,"$500,000","$5,065,148"
Cyprus,9,"$5,000,000","$5,064,704"
Puerto Rico,17,"$1,000,000","$4,650,207"
Armenia,10,$0,"$4,607,676"
Kenya,10,"$15,000","$4,069,787"
Georgia,18,"$12,000,000","$4,009,409"
USSR,6,"$25,000,000","$3,008,785"
Costa Rica,6,"$20,000,000","$3,002,051"
Republic of Kosovo,6,$0,"$2,923,746"
Yemen,3,$0,"$2,466,867"
Cambodia,16,"$3,000,000","$2,367,338"
Papua New Guinea,3,$0,"$2,287,136"
Tajikistan,2,$0,"$1,776,779"
Northern Ireland,3,$0,"$1,739,042"
Myanmar,3,$0,"$1,624,569"
Albania,9,$0,"$1,569,259"
Libyan Arab Jamahiriya,2,"$35,000,000","$1,509,571"
Nepal,14,$0,"$1,090,725"
Guatemala,7,$0,"$1,034,753"
Maldives,1,$0,"$993,251"
Brunei Darussalam,1,$0,"$993,251"
Djibouti,1,$0,"$993,251"
Lao People’s Democratic Republic,3,$0,"$856,821"
Nigeria,23,"$3,800,000","$803,572"
Jordan,5,"$5,000,000","$733,735"
Cameroon,3,$0,"$727,360"
Vanuatu,2,$0,"$574,050"
Palau,1,$0,"$443,291"
French Polynesia,1,$0,"$443,291"
Ghana,7,$0,"$406,799"
Iraq,9,$0,"$297,967"
Chad,3,$0,"$279,502"
Cape Verde,4,$0,"$273,078"
Sri Lanka,2,$0,"$268,404"
Syrian Arab Republic,8,$0,"$212,908"
British Indian Ocean Territory,1,$0,"$204,784"
Cook Islands,1,$0,"$186,978"
Belarus,7,$0,"$150,970"
Bangladesh,6,$0,"$123,556"
Ethiopia,7,$0,"$108,188"
The Democratic Republic of the Congo,4,$0,"$84,087"
Plurinational State of Bolivia,7,$0,"$75,078"
Jamaica,6,"$750,000","$69,280"
Rwanda,3,$0,"$51,992"
Angola,4,$0,"$47,278"
Haiti,5,$0,"$41,873"
Azerbaijan,5,"$29,120","$41,291"
Sudan,3,$0,"$32,134"
United Republic of Tanzania,6,"$800,000","$27,694"
Somalia,2,$0,"$26,421"
Macao,2,$0,"$25,021"
Congo,1,$0,"$24,139"
Zimbabwe,1,$0,"$22,554"
Gabon,1,$0,"$19,215"
Bahrain,1,$0,"$19,130"
Uganda,3,$0,"$16,942"
Czechoslovakia,2,$0,"$13,692"
Burkina Faso,2,$0,"$7,849"
Bhutan,2,$0,"$4,818"
Lesotho,2,$0,"$3,355"
Uzbekistan,1,$0,"$3,024"
Mozambique,2,$0,"$2,468"
Mali,2,$0,"$1,939"
Ecuador,7,"$800,000","$1,763"
Kyrgyzstan,3,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Nicaragua,4,$0,$0
Liechtenstein,4,$0,$0
Trinidad and Tobago,3,$0,$0
Republic of Moldova,2,$0,$0
Federated States of Micronesia,1,$0,$0
Liberia,1,$0,$0
El Salvador,1,$0,$0
Solomon Islands,1,$0,$0
Kiribati,1,$0,$0
Isle of Man,1,$0,$0
Oman,1,$0,$0
Honduras,1,$0,$0
Belize,1,$0,$0
