year,stats,number_of_movies,budget,total_revenue,best_seller
2027,, 1,,,
2026,, 1,,,
2025,, 1,,,
2024,, 1,,,
2023,, 14,,,
2022,, 53," $40,000,000",,
2021,, 92," $43,100,000",,
2020,Annual Stats," 1,085"," $55,037,241"," $2,396,067,505", Bad Boys For Life
2019,Annual Stats," 3,968"," $50,420,755"," $38,369,937,081", Avengers: Endgame
2018,Annual Stats," 3,890"," $42,283,886"," $38,224,389,896", Avengers: Infinity War
2017,Annual Stats," 3,610"," $46,864,768"," $37,914,237,954", Star Wars Ep. VIII: The Last Jedi
2016,Annual Stats," 3,507"," $38,581,077"," $36,931,791,426", Captain America: Civil War
2015,Annual Stats," 3,002"," $26,508,396"," $36,024,354,875", Star Wars Ep. VII: The Force Awakens
2014,Annual Stats," 1,518"," $30,876,642"," $29,965,176,445", Transformers: Age of Extinction
2013,Annual Stats," 1,415"," $37,562,530"," $29,724,418,383", Frozen
2012,Annual Stats," 1,493"," $33,218,989"," $31,578,572,542", The Avengers
2011,Annual Stats," 1,286"," $35,633,529"," $27,427,353,731", Harry Potter and the Deathly Hallows: Part II
2010,Annual Stats," 1,250"," $33,408,109"," $25,406,667,206", Toy Story 3
2009,Annual Stats," 1,208"," $34,755,837"," $25,903,410,878", Avatar
2008,Annual Stats," 1,115"," $31,504,670"," $24,247,421,912", The Dark Knight
2007,Annual Stats," 1,032"," $32,714,960"," $23,287,660,964", Pirates of the Caribbean: At World’s End
2006,Annual Stats, 831," $28,927,293"," $20,076,206,676", Pirates of the Caribbean: Dead Man’s Chest
2005,Annual Stats, 613," $33,560,559"," $18,389,256,134", Harry Potter and the Goblet of Fire
2004,Annual Stats, 620," $35,399,522"," $18,995,832,106", Shrek 2
2003,Annual Stats, 548," $32,001,468"," $17,791,623,451", The Lord of the Rings: The Return of the King
2002,Annual Stats, 496," $31,185,989"," $17,003,028,996", The Lord of the Rings: The Two Towers
2001,Annual Stats, 489," $32,388,846"," $15,046,811,814", Harry Potter and the Sorcerer’s Stone
2000,Annual Stats, 538," $31,167,926"," $13,324,011,694", Mission: Impossible 2
1999,Annual Stats, 472," $30,304,559"," $13,535,358,060", Star Wars Ep. I: The Phantom Menace
1998,Annual Stats, 411," $29,940,039"," $11,622,981,341", Armageddon
1997,Annual Stats, 358," $40,970,168"," $12,761,574,278", Titanic
1996,Annual Stats, 324," $31,575,708"," $10,116,308,228", Independence Day
1995,Annual Stats, 291," $35,020,946"," $9,866,938,749", Die Hard: With a Vengeance
1994,, 251," $29,368,895"," $8,882,413,431", The Lion King
